nvarsOrig,nclausesOrig,nvars,nclauses,reducedVars,reducedClauses,Pre-featuretime,vars-clauses-ratio,POSNEG-RATIO-CLAUSE-mean,POSNEG-RATIO-CLAUSE-coeff-variation,POSNEG-RATIO-CLAUSE-min,POSNEG-RATIO-CLAUSE-max,POSNEG-RATIO-CLAUSE-entropy,VCG-CLAUSE-mean,VCG-CLAUSE-coeff-variation,VCG-CLAUSE-min,VCG-CLAUSE-max,VCG-CLAUSE-entropy,UNARY,BINARY+,TRINARY+,Basic-featuretime,VCG-VAR-mean,VCG-VAR-coeff-variation,VCG-VAR-min,VCG-VAR-max,VCG-VAR-entropy,POSNEG-RATIO-VAR-mean,POSNEG-RATIO-VAR-stdev,POSNEG-RATIO-VAR-min,POSNEG-RATIO-VAR-max,POSNEG-RATIO-VAR-entropy,HORNY-VAR-mean,HORNY-VAR-coeff-variation,HORNY-VAR-min,HORNY-VAR-max,HORNY-VAR-entropy,horn-clauses-fraction,VG-mean,VG-coeff-variation,VG-min,VG-max,KLB-featuretime,CG-mean,CG-coeff-variation,CG-min,CG-max,CG-entropy,cluster-coeff-mean,cluster-coeff-coeff-variation,cluster-coeff-min,cluster-coeff-max,cluster-coeff-entropy,CG-featuretime,solved,instance_name
428.0,1500.0,424.0,1241.0,0.009433962,0.208702659,0.0,0.341659952,0.75639781,0.447841089,0.0,1.0,1.01211572,0.006784699,0.516728301,0.004716981,0.023584906,1.117504539,0.0,0.481063658,0.906526994,0.0,0.006798594,0.402769797,0.001611604,0.019339243,2.45571371,0.612381547,0.263252158,0.0,1.0,2.995032821,1.5312e-05,9.544304584,0.0,0.001611604,0.072449462,0.004029009,0.014280492,0.515816127,0.001611604,0.038678485,0.0,0.006347718,1.096834937,0.0,0.050765512,2.942441784,0.429725483,0.575770021,0.0,1.0,3.322510372,0.01,1.0,brummayer_1500_000
428.0,1500.0,424.0,1241.0,0.009433962,0.208702659,0.0,0.341659952,0.755645729,0.447863589,0.0,1.0,1.024085272,0.006784699,0.516728301,0.004716981,0.023584906,1.117504539,0.0,0.481063658,0.906526994,0.0,0.006798594,0.402769797,0.001611604,0.019339243,2.45571371,0.601851934,0.265635172,0.0,1.0,3.026778896,9.7615e-05,2.978843767,0.0,0.001611604,0.382535674,0.01369863,0.014280492,0.515816127,0.001611604,0.038678485,0.0,0.006497061,1.082897252,0.0,0.051571313,2.957479798,0.424247971,0.5758966,0.0,1.0,3.335628095,0.01,1.0,brummayer_1500_001
428.0,1500.0,424.0,1242.0,0.009433962,0.207729469,0.0,0.341384863,0.749539274,0.456461325,0.0,1.0,1.053303716,0.006788731,0.516637299,0.004716981,0.023584906,1.119991593,0.0,0.480676329,0.905797101,0.0,0.006802682,0.402723264,0.001610306,0.019323671,2.453075601,0.59150037,0.268752029,0.0,1.0,3.046980439,0.00017786,2.051425793,0.0,0.001610306,0.56391198,0.024959742,0.014307243,0.516146368,0.001610306,0.038647343,0.0,0.006640891,1.061104703,0.0,0.050724638,2.978934928,0.415385587,0.578914076,0.0,1.0,3.36513847,0.01,1.0,brummayer_1500_002
428.0,1500.0,424.0,1241.0,0.009433962,0.208702659,0.0,0.341659952,0.750254531,0.455433735,0.0,1.0,1.053693831,0.0067904,0.516645699,0.004716981,0.023584906,1.120303435,0.0,0.480257857,0.905721193,0.0,0.006804336,0.403106306,0.001611604,0.019339243,2.45227071,0.581389163,0.270294698,0.0,1.0,3.068956115,0.000262221,1.7620444,0.0,0.002417405,0.725764909,0.035455278,0.014314944,0.516190128,0.001611604,0.038678485,0.0,0.006780163,1.04885297,0.0,0.050765512,2.998685365,0.410534512,0.582560877,0.0,1.0,3.400435776,0.02,1.0,brummayer_1500_003
428.0,1500.0,425.0,1254.0,0.007058824,0.196172249,0.0,0.33891547,0.7435932,0.465175271,0.0,1.0,1.071334263,0.006769866,0.514608006,0.004705882,0.023529412,1.117144871,0.0,0.4784689,0.906698565,0.0,0.006779252,0.401327086,0.001594896,0.019138756,2.457272843,0.57617273,0.273603565,0.0,1.0,3.082515747,0.000305406,1.786245267,0.0,0.003189793,0.808423168,0.045454545,0.014180627,0.515750632,0.001594896,0.038277512,0.0,0.006771314,1.041004373,0.0,0.050239234,3.004317068,0.405012825,0.584085924,0.0,1.0,3.405110729,0.01,1.0,brummayer_1500_004
428.0,1500.0,425.0,1258.0,0.007058824,0.192368839,0.0,0.337837838,0.736194388,0.475495609,0.0,1.0,1.088224254,0.006770785,0.513725116,0.004705882,0.023529412,1.116282641,0.0,0.476947536,0.906995231,0.0,0.006780247,0.399245482,0.001589825,0.019077901,2.459228498,0.56805525,0.274353813,0.0,1.0,3.088381045,0.000372087,1.88500925,0.0,0.004769475,0.90021175,0.057233704,0.014135537,0.515750632,0.001589825,0.038155803,0.0,0.006830687,1.028861233,0.0,0.050079491,3.018110373,0.401466749,0.584502928,0.0,1.0,3.419924612,0.01,1.0,brummayer_1500_005
428.0,1500.0,425.0,1259.0,0.007058824,0.191421763,0.0,0.3375695,0.731902997,0.481956365,0.0,1.0,1.0989181,0.006771013,0.513505102,0.004705882,0.023529412,1.116065842,0.0,0.476568705,0.907069102,0.0,0.006780495,0.398905716,0.001588562,0.019062748,2.460350442,0.56110104,0.272800558,0.0,1.0,3.084265311,0.000443145,1.861650505,0.0,0.004765687,0.993335445,0.069102462,0.01412431,0.515750632,0.001588562,0.038125496,0.0,0.006920782,1.016256383,0.0,0.050039714,3.024979115,0.395510029,0.581545844,0.0,1.0,3.43771423,0.01,1.0,brummayer_1500_006
428.0,1500.0,425.0,1263.0,0.007058824,0.187648456,0.0,0.336500396,0.727473639,0.487917723,0.0,1.0,1.107699464,0.006771925,0.512627858,0.004705882,0.023529412,1.115193782,0.0,0.475059382,0.90736342,0.0,0.006781482,0.39826394,0.001583531,0.019002375,2.468034265,0.552043812,0.276891894,0.0,1.0,3.109649915,0.000512869,1.738644149,0.0,0.004750594,1.086641774,0.080760095,0.014079577,0.515750632,0.001583531,0.038004751,0.0,0.00698484,0.999704074,0.0,0.049881235,3.044052896,0.390897285,0.586094162,0.0,1.0,3.447023388,0.01,1.0,brummayer_1500_007
428.0,1500.0,425.0,1269.0,0.007058824,0.182033097,0.0,0.334909377,0.720304076,0.498102954,0.0,1.0,1.120685651,0.006773281,0.51132037,0.004705882,0.023529412,1.113871463,0.0,0.472813239,0.907801418,0.0,0.006782951,0.395605778,0.001576044,0.01891253,2.460887906,0.544145835,0.278438392,0.0,1.0,3.104185117,0.000575647,1.677618212,0.0,0.004728132,1.156044802,0.092198582,0.014013007,0.515750632,0.001576044,0.037825059,0.0,0.007082884,0.985921293,0.0,0.04964539,3.062764959,0.385285416,0.589261266,0.0,1.0,3.456228519,0.01,1.0,brummayer_1500_008
428.0,1500.0,425.0,1272.0,0.007058824,0.179245283,0.0,0.334119497,0.716246756,0.503677281,0.0,1.0,1.128578817,0.006773955,0.510670362,0.004705882,0.023529412,1.113204089,0.0,0.471698113,0.908018868,0.0,0.006783681,0.397750666,0.001572327,0.018867925,2.463891872,0.537028136,0.277228296,0.0,1.0,3.114650442,0.000641197,1.640876708,0.0,0.005503145,1.220595029,0.103773585,0.013979957,0.515750632,0.001572327,0.037735849,0.0,0.00717436,0.969329903,0.0,0.049528302,3.079595051,0.378778011,0.584197265,0.0,1.0,3.482534985,0.01,1.0,brummayer_1500_009
428.0,1500.0,425.0,1274.0,0.007058824,0.177394035,0.0,0.333594976,0.712244275,0.509718704,0.0,1.0,1.137306168,0.006774402,0.510238395,0.004705882,0.023529412,1.11275693,0.0,0.470957614,0.908163265,0.0,0.006784165,0.398147244,0.001569859,0.018838305,2.469695319,0.528735995,0.279587488,0.0,1.0,3.117299811,0.000699571,1.572637863,0.0,0.005494505,1.281972134,0.115384615,0.013958011,0.515750632,0.001569859,0.037676609,0.0,0.007223322,0.960097024,0.0,0.049450549,3.087622081,0.37537986,0.582911835,0.0,1.0,3.475235644,0.01,1.0,brummayer_1500_010
428.0,1500.0,425.0,1278.0,0.007058824,0.17370892,0.0,0.332550861,0.707667611,0.51617596,0.0,1.0,1.145953368,0.006775292,0.509377736,0.004705882,0.023529412,1.111857339,0.0,0.469483568,0.908450704,0.0,0.006785129,0.397645122,0.001564945,0.018779343,2.474294513,0.520190047,0.28579643,0.0,1.0,3.123074459,0.000767674,1.503073737,0.0,0.005477308,1.34769165,0.126760563,0.013914324,0.515750632,0.001564945,0.037558685,0.0,0.007283485,0.946282386,0.0,0.049295775,3.092616474,0.371283565,0.585081492,0.0,1.0,3.488842626,0.01,1.0,brummayer_1500_011
428.0,1500.0,425.0,1282.0,0.007058824,0.170046802,0.0,0.331513261,0.701559443,0.524961889,0.0,1.0,1.157618567,0.006776177,0.508521412,0.004705882,0.023529412,1.110950881,0.0,0.468018721,0.908736349,0.0,0.006786087,0.39829597,0.001560062,0.01950078,2.48330254,0.508864237,0.287605897,0.0,1.0,3.109103039,0.000833509,1.439631537,0.0,0.005460218,1.404683621,0.138065523,0.013870909,0.515750632,0.001560062,0.037441498,0.0,0.007392651,0.932184732,0.0,0.049141966,3.113010335,0.366500026,0.589242047,0.0,1.0,3.512296972,0.01,1.0,brummayer_1500_012
428.0,1500.0,425.0,1288.0,0.007058824,0.164596273,0.0,0.329968944,0.698808908,0.529160196,0.0,1.0,1.162394876,0.006777494,0.507244973,0.004705882,0.023529412,1.109578732,0.0,0.465838509,0.909161491,0.0,0.006787513,0.397916668,0.001552795,0.019409938,2.492161494,0.501789377,0.286155595,0.0,1.0,3.162558089,0.000901208,1.383613249,0.0,0.00621118,1.462824799,0.149068323,0.013806293,0.515750632,0.001552795,0.037267081,0.0,0.007457756,0.915972084,0.0,0.048136646,3.128278372,0.362179815,0.591878404,0.0,1.0,3.532255222,0.03,1.0,brummayer_1500_013
428.0,1500.0,425.0,1290.0,0.007058824,0.162790698,0.0,0.329457364,0.695399902,0.534582052,0.0,1.0,1.169385193,0.00677793,0.506821621,0.004705882,0.023529412,1.10911812,0.0,0.465116279,0.909302326,0.0,0.006787985,0.398860174,0.001550388,0.019379845,2.494326356,0.494260612,0.287315788,0.0,1.0,3.158307222,0.000967618,1.320335232,0.0,0.005426357,1.511176222,0.160465116,0.013784888,0.515750632,0.001550388,0.037209302,0.0,0.007542816,0.904961189,0.0,0.048062016,3.132201175,0.357442445,0.595652416,0.0,1.0,3.518246691,0.01,1.0,brummayer_1500_014
