nvarsOrig,nclausesOrig,nvars,nclauses,reducedVars,reducedClauses,Pre-featuretime,vars-clauses-ratio,POSNEG-RATIO-CLAUSE-mean,POSNEG-RATIO-CLAUSE-coeff-variation,POSNEG-RATIO-CLAUSE-min,POSNEG-RATIO-CLAUSE-max,POSNEG-RATIO-CLAUSE-entropy,VCG-CLAUSE-mean,VCG-CLAUSE-coeff-variation,VCG-CLAUSE-min,VCG-CLAUSE-max,VCG-CLAUSE-entropy,UNARY,BINARY+,TRINARY+,Basic-featuretime,VCG-VAR-mean,VCG-VAR-coeff-variation,VCG-VAR-min,VCG-VAR-max,VCG-VAR-entropy,POSNEG-RATIO-VAR-mean,POSNEG-RATIO-VAR-stdev,POSNEG-RATIO-VAR-min,POSNEG-RATIO-VAR-max,POSNEG-RATIO-VAR-entropy,HORNY-VAR-mean,HORNY-VAR-coeff-variation,HORNY-VAR-min,HORNY-VAR-max,HORNY-VAR-entropy,horn-clauses-fraction,VG-mean,VG-coeff-variation,VG-min,VG-max,KLB-featuretime,CG-mean,CG-coeff-variation,CG-min,CG-max,CG-entropy,cluster-coeff-mean,cluster-coeff-coeff-variation,cluster-coeff-min,cluster-coeff-max,cluster-coeff-entropy,CG-featuretime,solved,instance_name
600.0,2000.0,600.0,1963.0,0.0,0.018848701,0.0,0.30565461,0.514348786,0.704024191,0.0,1.0,1.372110738,0.005768382,0.145202525,0.003333333,0.006666667,0.703808622,0.0,0.002037697,0.536933265,0.0,0.005768382,0.26280351,0.00356597,0.010697911,2.371514081,0.492184588,0.244354419,0.0,1.0,3.515067172,2.547e-06,14.10673598,0.0,0.000509424,0.031479066,0.000509424,0.01124809,0.203671454,0.007131941,0.020886398,0.0,0.007107547,0.401137482,0.001018849,0.018848701,3.093274405,0.200150574,0.438681985,0.069518717,0.7,3.300917466,0.04,1.0,chevu_2000_1_000
600.0,2000.0,600.0,1957.0,0.0,0.021972407,0.0,0.306591722,0.509793902,0.727638439,0.0,1.0,1.369694412,0.005733265,0.146083298,0.003333333,0.006666667,0.705647661,0.0,0.003065917,0.556974962,0.0,0.005733265,0.258594023,0.003065917,0.014307614,2.357083849,0.481001378,0.246937671,0.0,1.0,3.514650632,3.407e-06,12.206555616,0.0,0.000510986,0.04004863,0.000510986,0.011067961,0.200327498,0.007153807,0.022994379,0.0,0.007113596,0.411771839,0.001021972,0.020950434,3.106934616,0.20231197,0.455194937,0.064102564,0.7,3.309538347,0.04,1.0,chevu_2000_4_000
600.0,2000.0,600.0,1958.0,0.0,0.02145046,0.0,0.306435138,0.518981954,0.696407471,0.0,1.0,1.369126091,0.005766088,0.145525395,0.003333333,0.006666667,0.706497085,0.0,0.002553626,0.537793667,0.0,0.005766088,0.265562889,0.003064351,0.012768131,2.371387151,0.486995095,0.250692627,0.0,1.0,3.519887804,4.256e-06,10.908712115,0.0,0.000510725,0.048194279,0.00102145,0.011280218,0.198540874,0.007150153,0.023493361,0.0,0.007076596,0.403961912,0.00102145,0.020939734,3.086781555,0.200198387,0.444856703,0.072580645,0.833333333,3.293738109,0.04,1.0,chevu_2000_3_000
600.0,2000.0,601.0,1946.0,-0.001663894,0.027749229,0.0,0.308838643,0.504796163,0.710133763,0.0,1.0,1.37181345,0.005744964,0.146536931,0.003327787,0.006655574,0.713588498,0.0,0.004110997,0.543165468,0.0,0.005744964,0.261448154,0.002569373,0.012846865,2.387021183,0.482206929,0.249797301,0.0,1.0,3.495723753,4.275e-06,10.917875251,0.0,0.000513875,0.048128001,0.001027749,0.011135945,0.201880347,0.003597122,0.023638232,0.0,0.007039501,0.393052821,0.000513875,0.018499486,3.059803772,0.20254128,0.462760775,0.068907563,1.0,3.294182385,0.04,1.0,chevu_2000_5_000
600.0,2000.0,600.0,1949.0,0.0,0.026167265,0.0,0.30785018,0.517786899,0.709141324,0.0,1.0,1.368957642,0.005753378,0.147130339,0.003333333,0.006666667,0.718495883,0.0,0.005130836,0.542842483,0.0,0.005753378,0.252676086,0.003078502,0.01128784,2.320578192,0.494327082,0.249224527,0.0,1.0,3.488185693,5.986e-06,10.450075676,0.0,0.001026167,0.060507146,0.001539251,0.01122969,0.200118826,0.007696254,0.021036429,0.0,0.006982571,0.394474946,0.001026167,0.016418676,3.061959096,0.204239688,0.462276293,0.071969697,0.833333333,3.298014968,0.04,1.0,chevu_2000_2_000
600.0,2000.0,600.0,1959.0,0.0,0.020929045,0.0,0.306278714,0.518887187,0.695495679,0.0,1.0,1.368793516,0.005765697,0.145529065,0.003333333,0.006666667,0.70645539,0.0,0.002552323,0.538029607,0.0,0.005765697,0.265771061,0.003062787,0.012761613,2.374942644,0.478999722,0.250319642,0.0,1.0,3.522633806,5.53e-05,3.196706885,0.0,0.001531394,0.354112746,0.009698826,0.01127446,0.198540874,0.007146503,0.023481368,0.0,0.007167349,0.403401996,0.001020929,0.020929045,3.099137411,0.198047061,0.439913119,0.072580645,0.833333333,3.282533724,0.03,1.0,chevu_2000_3_001
600.0,2000.0,600.0,1963.0,0.0,0.018848701,0.0,0.30565461,0.513584649,0.703643884,0.0,1.0,1.371950984,0.005768382,0.145202525,0.003333333,0.006666667,0.703808622,0.0,0.002037697,0.536933265,0.0,0.005768382,0.26280351,0.00356597,0.010697911,2.371514081,0.482340082,0.244188603,0.0,1.0,3.52523077,5.8584e-05,3.196268303,0.0,0.001018849,0.366154863,0.010188487,0.01124809,0.203671454,0.007131941,0.020886398,0.0,0.00722329,0.399873738,0.001018849,0.019358125,3.105379143,0.197432794,0.436067568,0.069518717,0.7,3.292266842,0.04,1.0,chevu_2000_1_001
600.0,2000.0,600.0,1950.0,0.0,0.025641026,0.0,0.307692308,0.517863248,0.707684929,0.0,1.0,1.368518926,0.005752991,0.147132361,0.003333333,0.006666667,0.718445481,0.0,0.005128205,0.543076923,0.0,0.005752991,0.252817781,0.003076923,0.011282051,2.317343076,0.486408608,0.25102846,0.0,1.0,3.489700846,5.3846e-05,3.529060866,0.0,0.001025641,0.334590726,0.01025641,0.011223932,0.200118826,0.007692308,0.021025641,0.0,0.007077975,0.394758781,0.001025641,0.020512821,3.076265426,0.202167394,0.458716144,0.07195122,0.833333333,3.291617409,0.06,1.0,chevu_2000_2_001
600.0,2000.0,600.0,1957.0,0.0,0.021972407,0.0,0.306591722,0.507238971,0.728698783,0.0,1.0,1.370108408,0.005733265,0.146083298,0.003333333,0.006666667,0.705647661,0.0,0.003065917,0.556974962,0.0,0.005733265,0.258594023,0.003065917,0.014307614,2.357083849,0.471328789,0.245475171,0.0,1.0,3.517075815,6.217e-05,3.113870687,0.0,0.001021972,0.380649887,0.01073071,0.011067961,0.200327498,0.007153807,0.022994379,0.0,0.007233183,0.406230562,0.001021972,0.020950434,3.114707459,0.199380077,0.449130227,0.064777328,0.7,3.29650262,0.05,1.0,chevu_2000_4_001
600.0,2000.0,601.0,1950.0,-0.001663894,0.025641026,0.0,0.308205128,0.502393162,0.711102139,0.0,1.0,1.371618694,0.005743419,0.146546137,0.003327787,0.006655574,0.713390494,0.0,0.004102564,0.544102564,0.0,0.005743419,0.261069648,0.002564103,0.012820513,2.386787079,0.472998437,0.247859037,0.0,1.0,3.486101201,5.8023e-05,3.270728414,0.0,0.001025641,0.360121153,0.010769231,0.011113102,0.201880347,0.003589744,0.023589744,0.0,0.007144773,0.387223716,0.001025641,0.017948718,3.059282389,0.198906127,0.444191384,0.068907563,0.833333333,3.287883655,0.04,1.0,chevu_2000_5_001
