,counter,instance,satisfiability,problem_type,est_type,est_val,counter_type,count_precision,count_notation,count_value,timed_out,error,solve_time,generator,verified
0,d4g,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/out/instances/cnf/brummayer_057_s15536153053371647837.cnf,SATISFIABLE,mc,log10-estimate,6.1170796333618580351696365112235794810344702083021,exact,arb,int,1309422,False,False,0.24864768981933594,brummayer,False
1,d4g,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/out/instances/cnf/brummayer_054_s16581144916601075071.cnf,SATISFIABLE,mc,log10-estimate,8.2905675466379058277523490214787744343443597126442,exact,arb,int,195239437,False,False,6.68230938911438,brummayer,False
2,d4g,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/out/instances/cnf/brummayer_052_s4020704569053081650.cnf,SATISFIABLE,mc,log10-estimate,6.1751219910781052249799255603616952907390530109131,exact,arb,int,1496656,False,False,0.08335709571838379,brummayer,False
3,d4g,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/out/instances/cnf/brummayer_047_s5546123849234785668.cnf,SATISFIABLE,mc,log10-estimate,5.5858993146072450593594498230811532521363288184593,exact,arb,int,385389,False,False,0.1503582000732422,brummayer,False
4,d4g,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/out/instances/cnf/brummayer_075_s13154589943659266050.cnf,SATISFIABLE,mc,log10-estimate,5.3873364261933372381416146932122597523594347936131,exact,arb,int,243970,False,False,0.1967480182647705,brummayer,False
5,d4g,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/out/instances/cnf/brummayer_045_s18094694992965300904.cnf,SATISFIABLE,mc,log10-estimate,6.215665317216888757970467910696689089593718176142,exact,arb,int,1643105,False,False,0.7442653179168701,brummayer,False
6,d4g,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/out/instances/cnf/brummayer_027_s16581144916601075044.cnf,SATISFIABLE,mc,log10-estimate,6.548652003967808878389981732711894426729751431865,exact,arb,int,3537138,False,False,0.19025897979736328,brummayer,False
7,d4g,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/out/instances/cnf/brummayer_010_s18094694992965300869.cnf,SATISFIABLE,mc,log10-estimate,4.8306014984655592237990018866815997329858236913689,exact,arb,int,67702,False,False,0.1007225513458252,brummayer,False
8,d4g,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/out/instances/cnf/brummayer_066_s5546123849234785687.cnf,SATISFIABLE,mc,log10-estimate,8.8345345972576473856631457010238208203031404774801,exact,arb,int,683179140,False,False,0.695136547088623,brummayer,False
9,d4g,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/out/instances/cnf/brummayer_046_s1955486367511994432.cnf,SATISFIABLE,mc,log10-estimate,4.6280004459889015267060257500218700373561781130309,exact,arb,int,42462,False,False,0.04099273681640625,brummayer,False
10,d4g,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/out/instances/cnf/brummayer_095_s16581144916601075112.cnf,SATISFIABLE,mc,log10-estimate,7.4672189750944654815388951328833120019290038203049,exact,arb,int,29323714,False,False,0.9920699596405029,brummayer,False
11,d4g,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/out/instances/cnf/brummayer_012_s14492288797062911873.cnf,SATISFIABLE,mc,log10-estimate,5.4104583526199323224511735280666161539998058336094,exact,arb,int,257311,False,False,0.09637999534606934,brummayer,False
12,d4g,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/out/instances/cnf/brummayer_062_s14492288797062911923.cnf,SATISFIABLE,mc,log10-estimate,8.013573122152880841428526855286862749733112171424,exact,arb,int,103174678,False,False,19.85160183906555,brummayer,False
13,d4g,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/out/instances/cnf/brummayer_026_s2939805713121486917.cnf,SATISFIABLE,mc,log10-estimate,8.1347373812975037027818069001463322295974149975154,exact,arb,int,136375822,False,False,1.3900859355926514,brummayer,False
14,d4g,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/out/instances/cnf/brummayer_080_s4020704569053081678.cnf,UNSATISFIABLE,mc,log10-estimate,-inf,exact,quadruple,int,0,False,False,0.020253658294677734,brummayer,False
15,d4g,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/out/instances/cnf/brummayer_063_s4058506580788274806.cnf,SATISFIABLE,mc,log10-estimate,5.0835635314511888556939041810594175427034907151714,exact,arb,int,121217,False,False,0.2299196720123291,brummayer,False
16,d4g,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/out/instances/cnf/brummayer_019_s4020704569053081617.cnf,SATISFIABLE,mc,log10-estimate,8.5711317812219131938363382710865419435087027604196,exact,arb,int,372504721,False,False,4.949817180633545,brummayer,False
17,d4g,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/out/instances/cnf/brummayer_011_s16581144916601075028.cnf,SATISFIABLE,mc,log10-estimate,6.3054741155391030375238089699281661426794172353617,exact,arb,int,2020571,False,False,0.42824769020080566,brummayer,False
18,d4g,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/out/instances/cnf/brummayer_079_s15536153053371647859.cnf,SATISFIABLE,mc,log10-estimate,5.0018548139061790529949533486247029441747170607601,exact,arb,int,100428,False,False,0.11921525001525879,brummayer,False
19,d4g,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/out/instances/cnf/brummayer_057_s7298841769326252271.cnf,SATISFIABLE,mc,log10-estimate,5.3038524045988792993975941936626675318812148739018,exact,arb,int,201304,False,False,0.0686650276184082,brummayer,False
20,d4g,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/out/instances/cnf/brummayer_089_s13154589943659266064.cnf,SATISFIABLE,mc,log10-estimate,5.3556698576948383629990648953627785249895878763171,exact,arb,int,226814,False,False,0.11884784698486328,brummayer,False
21,d4g,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/out/instances/cnf/brummayer_034_s4058506580788274777.cnf,SATISFIABLE,mc,log10-estimate,4.2348208798074011852405816940967038830323976209819,exact,arb,int,17172,False,False,0.044379234313964844,brummayer,False
