nvarsOrig,nclausesOrig,nvars,nclauses,reducedVars,reducedClauses,Pre-featuretime,vars-clauses-ratio,POSNEG-RATIO-CLAUSE-mean,POSNEG-RATIO-CLAUSE-coeff-variation,POSNEG-RATIO-CLAUSE-min,POSNEG-RATIO-CLAUSE-max,POSNEG-RATIO-CLAUSE-entropy,VCG-CLAUSE-mean,VCG-CLAUSE-coeff-variation,VCG-CLAUSE-min,VCG-CLAUSE-max,VCG-CLAUSE-entropy,UNARY,BINARY+,TRINARY+,Basic-featuretime,VCG-VAR-mean,VCG-VAR-coeff-variation,VCG-VAR-min,VCG-VAR-max,VCG-VAR-entropy,POSNEG-RATIO-VAR-mean,POSNEG-RATIO-VAR-stdev,POSNEG-RATIO-VAR-min,POSNEG-RATIO-VAR-max,POSNEG-RATIO-VAR-entropy,HORNY-VAR-mean,HORNY-VAR-coeff-variation,HORNY-VAR-min,HORNY-VAR-max,HORNY-VAR-entropy,horn-clauses-fraction,VG-mean,VG-coeff-variation,VG-min,VG-max,KLB-featuretime,CG-mean,CG-coeff-variation,CG-min,CG-max,CG-entropy,cluster-coeff-mean,cluster-coeff-coeff-variation,cluster-coeff-min,cluster-coeff-max,cluster-coeff-entropy,CG-featuretime,solved,instance_name
90.0,400.0,91.0,386.0,-0.010989011,0.03626943,0.0,0.235751295,0.460276339,0.586330206,0.0,1.0,0.562371009,0.032596937,0.060816386,0.021978022,0.032967033,0.147306043,0.0,0.033678756,1.0,0.0,0.032596937,0.3170438,0.007772021,0.059585492,2.644133384,0.241445704,0.195110997,0.0,0.833333333,3.16847014,0.022461994,0.332896918,0.005181347,0.041450777,2.394636295,0.689119171,0.044639299,0.292917801,0.015544041,0.080310881,0.0,0.047048243,0.243173718,0.015544041,0.082901554,2.867904384,0.157587354,0.285550347,0.079545455,0.355555556,2.718800421,0.02,1.0,chevu_009_s11968232649543985620_070
90.0,400.0,90.0,386.0,0.0,0.03626943,0.0,0.233160622,0.515544041,0.590225909,0.0,1.0,0.657642649,0.03298791,0.058457711,0.022222222,0.033333333,0.138504343,0.0,0.031088083,1.0,0.0,0.03298791,0.345866902,0.012953368,0.062176166,2.76107404,0.246034083,0.207932065,0.0,1.0,3.079654662,0.013845711,0.453341646,0.005181347,0.028497409,2.178811922,0.419689119,0.043465746,0.328959803,0.015544041,0.080310881,0.0,0.04788048,0.267297316,0.010362694,0.085492228,2.954458797,0.168643338,0.31441908,0.08045977,0.4,2.921143712,0.03,1.0,chevu_008_s11968232649543985619_041
90.0,400.0,91.0,393.0,-0.010989011,0.017811705,0.0,0.231552163,0.524173028,0.593385795,0.0,1.0,0.689810217,0.032463719,0.070765188,0.021978022,0.032967033,0.185962407,0.0,0.045801527,1.0,0.0,0.032463719,0.379447293,0.007633588,0.06870229,2.884652077,0.23659594,0.190600285,0.0,0.846153846,3.17439472,0.018147247,0.451229713,0.002544529,0.043256997,2.420247677,0.562340967,0.040992087,0.371354774,0.010178117,0.083969466,0.0,0.048999994,0.300739203,0.010178117,0.094147583,3.12880516,0.17226294,0.330059413,0.080952381,0.5,2.975029083,0.03,1.0,chevu_002_s11968232649543985613_056
90.0,400.0,90.0,390.0,0.0,0.025641026,0.0,0.230769231,0.514529915,0.59299301,0.0,1.0,0.666865899,0.032792023,0.072943808,0.022222222,0.033333333,0.194722878,0.0,0.048717949,1.0,0.0,0.032792023,0.356136755,0.005128205,0.061538462,2.780811323,0.271997976,0.215709425,0.0,1.0,3.271076906,0.017094017,0.445533388,0.002564103,0.033333333,2.419249726,0.523076923,0.042735043,0.294754135,0.01025641,0.069230769,0.0,0.048047337,0.277421505,0.015384615,0.094871795,3.00448774,0.170717737,0.268427214,0.084677419,0.345454545,2.818315115,0.03,1.0,chevu_003_s11968232649543985614_052
90.0,400.0,92.0,380.0,-0.02173913,0.052631579,0.0,0.242105263,0.599122807,0.551514228,0.0,1.0,0.716061899,0.032208238,0.063572043,0.02173913,0.032608696,0.15777493,0.0,0.036842105,1.0,0.0,0.032208238,0.317671578,0.007894737,0.060526316,2.689863586,0.514066694,0.247349849,0.0,1.0,3.428328678,0.005291762,0.801514272,0.0,0.023684211,1.73370846,0.165789474,0.045080092,0.295938433,0.015789474,0.081578947,0.0,0.037520776,0.408499465,0.005263158,0.092105263,3.108407453,0.204730102,0.470347095,0.068907563,0.7,3.254488968,0.04,1.0,chevu_009_s11968232649543985620_015
90.0,400.0,92.0,372.0,-0.02173913,0.075268817,0.0,0.247311828,0.630824373,0.533849075,0.0,1.0,0.741381491,0.032170407,0.06646491,0.02173913,0.032608696,0.168967975,0.0,0.040322581,1.0,0.0,0.032170407,0.375203689,0.008064516,0.072580645,2.77534256,0.560599187,0.267432258,0.0,1.0,3.379309329,0.002863488,0.976824322,0.0,0.01344086,1.325494023,0.091397849,0.045640486,0.34233425,0.016129032,0.096774194,0.0,0.033414268,0.51097921,0.002688172,0.099462366,3.150479727,0.245068574,0.522647445,0.06970128,1.0,3.391746791,0.03,1.0,chevu_001_s11968232649543985612_008
90.0,400.0,90.0,375.0,0.0,0.066666667,0.0,0.24,0.610666667,0.538093338,0.333333333,1.0,0.678968037,0.032977778,0.059299191,0.022222222,0.033333333,0.14162707,0.0,0.032,1.0,0.0,0.032977778,0.349251681,0.010666667,0.064,2.708984165,0.434017219,0.239062662,0.0,1.0,3.239824776,0.005688889,0.70641591,0.0,0.021333333,1.669531999,0.170666667,0.044740741,0.328959803,0.016,0.082666667,0.0,0.040149333,0.400922925,0.005333333,0.093333333,3.104001836,0.203582484,0.391894716,0.065079365,0.666666667,3.274169006,0.01,1.0,chevu_008_s11968232649543985619_016
90.0,400.0,91.0,374.0,-0.010989011,0.069518717,0.0,0.243315508,0.614081996,0.538218935,0.0,1.0,0.698113575,0.03255568,0.064073066,0.021978022,0.032967033,0.159698969,0.0,0.037433155,1.0,0.0,0.03255568,0.360902511,0.010695187,0.064171123,2.72594425,0.466930679,0.242521854,0.0,1.0,3.157762589,0.004642416,0.762914238,0.0,0.016042781,1.553362521,0.14171123,0.044484927,0.336784772,0.016042781,0.082887701,0.0,0.038076582,0.431659906,0.005347594,0.096256684,3.132444955,0.216636562,0.431573243,0.067226891,0.666666667,3.368486067,0.02,1.0,chevu_008_s11968232649543985619_013
90.0,400.0,94.0,373.0,-0.042553191,0.072386059,0.0,0.252010724,0.551385165,0.587595703,0.0,1.0,0.734227638,0.031287434,0.08010475,0.021276596,0.031914894,0.2241551,0.0,0.058981233,1.0,0.0,0.031287434,0.377746126,0.00536193,0.061662198,2.814161646,0.396208934,0.264367916,0.0,1.0,3.383289904,0.007985854,0.707900028,0.0,0.024128686,2.040261499,0.257372654,0.043237693,0.327880871,0.010723861,0.075067024,0.0,0.040638544,0.376389744,0.008042895,0.101876676,3.06536748,0.199911444,0.389031138,0.082010582,0.666666667,3.189937199,0.01,1.0,chevu_003_s11968232649543985614_023
90.0,400.0,90.0,398.0,0.0,0.005025126,0.0,0.226130653,0.500837521,0.600033929,0.0,1.0,0.666688579,0.032774986,0.074061551,0.022222222,0.033333333,0.199254389,0.0,0.050251256,1.0,0.0,0.032774986,0.36781497,0.007537688,0.067839196,2.86780554,0.268660337,0.186812839,0.0,0.666666667,3.126207875,0.016666667,0.429611506,0.005025126,0.035175879,2.339377384,0.510050251,0.04226689,0.342586021,0.015075377,0.072864322,0.0,0.048723517,0.274663002,0.01758794,0.09798995,3.03911963,0.163028582,0.294714675,0.077310924,0.361111111,2.855642848,0.01,1.0,chevu_000_s11968232649543985611_051
90.0,400.0,92.0,383.0,-0.02173913,0.044386423,0.0,0.240208877,0.548302872,0.585875575,0.0,1.0,0.719108351,0.031984334,0.079075332,0.02173913,0.032608696,0.219868209,0.0,0.057441253,1.0,0.0,0.031984334,0.367371585,0.005221932,0.062663185,2.807514764,0.315938266,0.2209807,0.0,1.0,3.407868613,0.010188444,0.575591542,0.0,0.026109661,2.150823942,0.321148825,0.042683619,0.311312252,0.010443864,0.070496084,0.0,0.045088589,0.317438543,0.015665796,0.096605744,3.041317191,0.184947994,0.32616048,0.086206897,0.444444444,3.074424368,0.03,1.0,chevu_003_s11968232649543985614_031
90.0,400.0,91.0,383.0,-0.010989011,0.044386423,0.0,0.237597911,0.477806789,0.594415637,0.0,1.0,0.60923213,0.03262273,0.058683649,0.021978022,0.032967033,0.139340877,0.0,0.031331593,1.0,0.0,0.03262273,0.315349733,0.007832898,0.060052219,2.630285212,0.272355134,0.209096022,0.0,1.0,3.293756233,0.022867472,0.333996759,0.005221932,0.041775457,2.349486624,0.702349869,0.044988954,0.292917801,0.015665796,0.080939948,0.0,0.046138429,0.253416652,0.015665796,0.078328982,2.888498095,0.163183472,0.287582736,0.086021505,0.355555556,2.786279576,0.03,1.0,chevu_009_s11968232649543985620_071
