,counter,instance,satisfiability,problem_type,est_type,est_val,counter_type,count_precision,count_notation,count_value,timed_out,error,solve_time,generator,verified
0,ganak,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/out/instances/cnf/brummayer_057_s15536153053371647837.cnf,SATISFIABLE,mc,log10-estimate,6.117079633362,exact,arb,int,1309422,False,False,1.7963225841522217,brummayer,False
1,ganak,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/out/instances/cnf/brummayer_054_s16581144916601075071.cnf,SATISFIABLE,mc,log10-estimate,8.290567546638,exact,arb,int,195239437,False,False,3.857104539871216,brummayer,False
2,ganak,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/out/instances/cnf/brummayer_052_s4020704569053081650.cnf,SATISFIABLE,mc,log10-estimate,6.175121991078,exact,arb,int,1496656,False,False,1.312530279159546,brummayer,False
3,ganak,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/out/instances/cnf/brummayer_047_s5546123849234785668.cnf,SATISFIABLE,mc,log10-estimate,5.585899314607,exact,arb,int,385389,False,False,1.5751631259918213,brummayer,False
4,ganak,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/out/instances/cnf/brummayer_075_s13154589943659266050.cnf,SATISFIABLE,mc,log10-estimate,5.387336426193,exact,arb,int,243970,False,False,2.2423324584960938,brummayer,False
5,ganak,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/out/instances/cnf/brummayer_045_s18094694992965300904.cnf,SATISFIABLE,mc,log10-estimate,6.215665317217,exact,arb,int,1643105,False,False,3.0953099727630615,brummayer,False
6,ganak,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/out/instances/cnf/brummayer_027_s16581144916601075044.cnf,SATISFIABLE,mc,log10-estimate,6.548652003968,exact,arb,int,3537138,False,False,1.7202119827270508,brummayer,False
7,ganak,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/out/instances/cnf/brummayer_010_s18094694992965300869.cnf,SATISFIABLE,mc,log10-estimate,4.830601498466,exact,arb,int,67702,False,False,2.035451889038086,brummayer,False
8,ganak,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/out/instances/cnf/brummayer_066_s5546123849234785687.cnf,SATISFIABLE,mc,log10-estimate,8.834534597258,exact,arb,int,683179140,False,False,2.2347054481506348,brummayer,False
9,ganak,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/out/instances/cnf/brummayer_046_s1955486367511994432.cnf,SATISFIABLE,mc,log10-estimate,4.628000445989,exact,arb,int,42462,False,False,0.7960820198059082,brummayer,False
10,ganak,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/out/instances/cnf/brummayer_095_s16581144916601075112.cnf,SATISFIABLE,mc,log10-estimate,7.467218975094,exact,arb,int,29323714,False,False,2.8585457801818848,brummayer,False
11,ganak,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/out/instances/cnf/brummayer_012_s14492288797062911873.cnf,SATISFIABLE,mc,log10-estimate,5.410458352620,exact,arb,int,257311,False,False,0.06617450714111328,brummayer,False
12,ganak,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/out/instances/cnf/brummayer_062_s14492288797062911923.cnf,SATISFIABLE,mc,log10-estimate,8.013573122153,exact,arb,int,103174678,False,False,9.862791299819946,brummayer,False
13,ganak,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/out/instances/cnf/brummayer_026_s2939805713121486917.cnf,SATISFIABLE,mc,log10-estimate,8.134737381298,exact,arb,int,136375822,False,False,3.0614964962005615,brummayer,False
14,ganak,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/out/instances/cnf/brummayer_080_s4020704569053081678.cnf,UNSATISFIABLE,mc,log10-estimate,-inf,exact,arb,int,0,False,False,0.01621270179748535,brummayer,False
15,ganak,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/out/instances/cnf/brummayer_063_s4058506580788274806.cnf,SATISFIABLE,mc,log10-estimate,5.083563531451,exact,arb,int,121217,False,False,2.1343319416046143,brummayer,False
16,ganak,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/out/instances/cnf/brummayer_019_s4020704569053081617.cnf,SATISFIABLE,mc,log10-estimate,8.571131781222,exact,arb,int,372504721,False,False,4.90776515007019,brummayer,False
17,ganak,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/out/instances/cnf/brummayer_011_s16581144916601075028.cnf,SATISFIABLE,mc,log10-estimate,6.305474115539,exact,arb,int,2020571,False,False,2.478023052215576,brummayer,False
18,ganak,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/out/instances/cnf/brummayer_079_s15536153053371647859.cnf,SATISFIABLE,mc,log10-estimate,5.001854813906,exact,arb,int,100428,False,False,1.1193931102752686,brummayer,False
19,ganak,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/out/instances/cnf/brummayer_057_s7298841769326252271.cnf,SATISFIABLE,mc,log10-estimate,5.303852404599,exact,arb,int,201304,False,False,1.2723917961120605,brummayer,False
20,ganak,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/out/instances/cnf/brummayer_089_s13154589943659266064.cnf,SATISFIABLE,mc,log10-estimate,5.355669857695,exact,arb,int,226814,False,False,1.8769025802612305,brummayer,False
21,ganak,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/out/instances/cnf/brummayer_034_s4058506580788274777.cnf,SATISFIABLE,mc,log10-estimate,4.234820879807,exact,arb,int,17172,False,False,0.6545720100402832,brummayer,False
22,ganak,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/out/instances/cnf/brummayer_009_s15536153053371647789.cnf,SATISFIABLE,mc,log10-estimate,5.754342218844,exact,arb,int,567992,False,False,0.5995066165924072,brummayer,False
