Unnamed: 0,counter,instance,satisfiability,problem_type,est_type,est_val,counter_type,count_precision,count_notation,count_value,timed_out,error,solve_time,generator,verified
91,d4r,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/instances/3cnf-400clause-horn2/chevu_000_s77957_000.cnf,,,,,,,,,True,False,940.8367104530334,unknown,False
89,d4r,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/instances/3cnf-400clause-horn2/chevu_001_s77958_002.cnf,,,,,,,,,True,False,931.710099220276,unknown,False
68,d4r,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/instances/3cnf-400clause-horn2/chevu_002_s77959_002.cnf,SATISFIABLE,mc,log10-estimate,17.94818280958719,exact,arb,int,8.875295253327542e+17,False,False,533.1553926467896,unknown,False
33,d4r,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/instances/3cnf-400clause-horn2/chevu_003_s77960_002.cnf,,,,,,,,,True,False,949.6322269439696,unknown,False
3,d4r,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/instances/3cnf-400clause-horn2/chevu_000_s77957_003.cnf,,,,,,,,,True,False,941.873497247696,unknown,False
54,d4r,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/instances/3cnf-400clause-horn2/chevu_000_s77957_005.cnf,,,,,,,,,True,False,928.7984092235564,unknown,False
9,d4r,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/instances/3cnf-400clause-horn2/chevu_000_s77957_006.cnf,,,,,,,,,True,False,931.902355670929,unknown,False
18,d4r,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/instances/3cnf-400clause-horn2/chevu_002_s77959_006.cnf,SATISFIABLE,mc,log10-estimate,15.881301082950896,exact,arb,int,7608535704219434.0,False,False,48.324138164520264,unknown,False
108,d4r,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/instances/3cnf-400clause-horn2/chevu_001_s77958_007.cnf,SATISFIABLE,mc,log10-estimate,16.192580174764903,exact,arb,int,1.5580456378712906e+16,False,False,424.4645338058472,unknown,False
114,d4r,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/instances/3cnf-400clause-horn2/chevu_001_s77958_008.cnf,SATISFIABLE,mc,log10-estimate,16.931007707808753,exact,arb,int,8.531152548751206e+16,False,False,690.7427990436554,unknown,False
29,d4r,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/instances/3cnf-400clause-horn2/chevu_002_s77959_008.cnf,SATISFIABLE,mc,log10-estimate,15.468263810301716,exact,arb,int,2939434656608825.0,False,False,36.67834162712097,unknown,False
