Unnamed: 0,counter,instance,satisfiability,problem_type,est_type,est_val,counter_type,count_precision,count_notation,count_value,timed_out,error,solve_time,generator,verified
62,d4g,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/instances/3cnf-500clause-horn3/chevu_001_s40038_002.cnf,,,,,,,,,True,False,903.6277854442596,unknown,False
35,d4g,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/instances/3cnf-500clause-horn3/chevu_000_s40037_003.cnf,,,,,,,,,True,False,903.9612214565276,unknown,False
10,d4g,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/instances/3cnf-500clause-horn3/chevu_001_s40038_003.cnf,,,,,,,,,True,False,904.2452764511108,unknown,False
47,d4g,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/instances/3cnf-500clause-horn3/chevu_002_s40039_006.cnf,,,,,,,,,True,False,903.7635407447816,unknown,False
52,d4g,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/instances/3cnf-500clause-horn3/chevu_000_s40037_007.cnf,,,,,,,,,True,False,904.9580874443054,unknown,False
27,d4g,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/instances/3cnf-500clause-horn3/chevu_001_s40038_007.cnf,,,,,,,,,True,False,903.2124750614166,unknown,False
77,d4g,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/instances/3cnf-500clause-horn3/chevu_001_s40038_008.cnf,,,,,,,,,True,False,904.1270883083344,unknown,False
26,d4g,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/instances/3cnf-500clause-horn3/chevu_002_s40039_008.cnf,,,,,,,,,True,False,903.4288845062256,unknown,False
39,d4g,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/instances/3cnf-500clause-horn3/chevu_000_s40037_010.cnf,SATISFIABLE,mc,log10-estimate,19.493681294156712,exact,arb,int,31166016349247613682,False,False,686.1259093284607,unknown,False
20,d4g,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/instances/3cnf-500clause-horn3/chevu_002_s40039_011.cnf,,,,,,,,,True,False,904.692848920822,unknown,False
3,d4g,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/instances/3cnf-500clause-horn3/chevu_002_s40039_012.cnf,,,,,,,,,True,False,903.0571792125702,unknown,False
59,d4g,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/instances/3cnf-500clause-horn3/chevu_000_s40037_013.cnf,SATISFIABLE,mc,log10-estimate,18.764175276364934,exact,arb,int,5809988548086983400,False,False,408.2783668041229,unknown,False
13,d4g,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/instances/3cnf-500clause-horn3/chevu_001_s40038_013.cnf,,,,,,,,,True,False,904.2348561286926,unknown,False
14,d4g,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/instances/3cnf-500clause-horn3/chevu_002_s40039_013.cnf,,,,,,,,,True,False,904.2241134643556,unknown,False
57,d4g,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/instances/3cnf-500clause-horn3/chevu_001_s40038_014.cnf,,,,,,,,,True,False,904.4574477672576,unknown,False
5,d4g,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/instances/3cnf-500clause-horn3/chevu_000_s40037_015.cnf,SATISFIABLE,mc,log10-estimate,18.791124686560448,exact,arb,int,6181938589947506070,False,False,305.1193070411682,unknown,False
69,d4g,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/instances/3cnf-500clause-horn3/chevu_001_s40038_015.cnf,,,,,,,,,True,False,903.6898801326752,unknown,False
79,d4g,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/instances/3cnf-500clause-horn3/chevu_002_s40039_016.cnf,SATISFIABLE,mc,log10-estimate,18.64900441145804,exact,arb,int,4456607752886028354,False,False,621.6992964744568,unknown,False
21,d4g,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/instances/3cnf-500clause-horn3/chevu_000_s40037_018.cnf,SATISFIABLE,mc,log10-estimate,13.88964758551184,exact,arb,int,77561747526940,False,False,2.640472888946533,unknown,False
32,d4g,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/instances/3cnf-500clause-horn3/chevu_000_s40037_020.cnf,SATISFIABLE,mc,log10-estimate,16.697186619291568,exact,arb,int,49795101194802356,False,False,39.833441734313965,unknown,False
37,d4g,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/instances/3cnf-500clause-horn3/chevu_002_s40039_021.cnf,SATISFIABLE,mc,log10-estimate,13.838254602303888,exact,arb,int,68905613261744,False,False,8.583969593048096,unknown,False
49,d4g,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/instances/3cnf-500clause-horn3/chevu_000_s40037_022.cnf,SATISFIABLE,mc,log10-estimate,16.65674774703901,exact,arb,int,45367802852503556,False,False,36.48896050453186,unknown,False
25,d4g,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/instances/3cnf-500clause-horn3/chevu_002_s40039_023.cnf,SATISFIABLE,mc,log10-estimate,15.949243879321273,exact,arb,int,8897005915424848,False,False,42.46599245071411,unknown,False
1,d4g,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/instances/3cnf-500clause-horn3/chevu_000_s40037_024.cnf,SATISFIABLE,mc,log10-estimate,16.277634613286132,exact,arb,int,18951108291273198,False,False,31.42176365852356,unknown,False
22,d4g,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/instances/3cnf-500clause-horn3/chevu_001_s40038_025.cnf,SATISFIABLE,mc,log10-estimate,14.109212694158115,exact,arb,int,128591627861968,False,False,9.142606496810911,unknown,False
18,d4g,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/instances/3cnf-500clause-horn3/chevu_001_s40038_026.cnf,SATISFIABLE,mc,log10-estimate,12.668577278853368,exact,arb,int,4662053777360,False,False,3.2707626819610596,unknown,False
76,d4g,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/instances/3cnf-500clause-horn3/chevu_001_s40038_027.cnf,SATISFIABLE,mc,log10-estimate,13.589967340537845,exact,arb,int,38901588943618,False,False,5.322736501693726,unknown,False
61,d4g,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/instances/3cnf-500clause-horn3/chevu_000_s40037_029.cnf,SATISFIABLE,mc,log10-estimate,14.705473602645496,exact,arb,int,507543888480044,False,False,4.128643751144409,unknown,False
0,d4g,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/instances/3cnf-500clause-horn3/chevu_000_s40037_032.cnf,SATISFIABLE,mc,log10-estimate,14.580404056260567,exact,arb,int,380543279216620,False,False,2.6459813117980957,unknown,False
42,d4g,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/instances/3cnf-500clause-horn3/chevu_002_s40039_032.cnf,SATISFIABLE,mc,log10-estimate,13.10030671772412,exact,arb,int,12598148339212,False,False,1.5716426372528076,unknown,False
45,d4g,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/instances/3cnf-500clause-horn3/chevu_001_s40038_033.cnf,SATISFIABLE,mc,log10-estimate,12.5684720125951,exact,arb,int,3702303457360,False,False,1.0634033679962158,unknown,False
12,d4g,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/instances/3cnf-500clause-horn3/chevu_002_s40039_033.cnf,SATISFIABLE,mc,log10-estimate,8.160045411684669,exact,arb,int,144559092,False,False,0.077038288116455,unknown,False
56,d4g,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/instances/3cnf-500clause-horn3/chevu_000_s40037_035.cnf,SATISFIABLE,mc,log10-estimate,14.306563266197406,exact,arb,int,202564467274684,False,False,2.937124013900757,unknown,False
72,d4g,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/instances/3cnf-500clause-horn3/chevu_001_s40038_036.cnf,SATISFIABLE,mc,log10-estimate,11.355130137993823,exact,arb,int,226532301856,False,False,0.4477841854095459,unknown,False
63,d4g,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/instances/3cnf-500clause-horn3/chevu_000_s40037_037.cnf,SATISFIABLE,mc,log10-estimate,13.603085692827548,exact,arb,int,40094582245866,False,False,2.237523078918457,unknown,False
53,d4g,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/instances/3cnf-500clause-horn3/chevu_001_s40038_037.cnf,SATISFIABLE,mc,log10-estimate,11.042502174109131,exact,arb,int,110281375460,False,False,0.3768067359924316,unknown,False
51,d4g,/home/vjurisic/cse3000-how-to-break-a-solver/SharpVelvet/instances/3cnf-500clause-horn3/chevu_000_s40037_038.cnf,SATISFIABLE,mc,log10-estimate,12.588650713852022,exact,arb,int,3878383172602,False,False,0.7439584732055664,unknown,False
