nvarsOrig,nclausesOrig,nvars,nclauses,reducedVars,reducedClauses,Pre-featuretime,vars-clauses-ratio,POSNEG-RATIO-CLAUSE-mean,POSNEG-RATIO-CLAUSE-coeff-variation,POSNEG-RATIO-CLAUSE-min,POSNEG-RATIO-CLAUSE-max,POSNEG-RATIO-CLAUSE-entropy,VCG-CLAUSE-mean,VCG-CLAUSE-coeff-variation,VCG-CLAUSE-min,VCG-CLAUSE-max,VCG-CLAUSE-entropy,UNARY,BINARY+,TRINARY+,Basic-featuretime,VCG-VAR-mean,VCG-VAR-coeff-variation,VCG-VAR-min,VCG-VAR-max,VCG-VAR-entropy,POSNEG-RATIO-VAR-mean,POSNEG-RATIO-VAR-stdev,POSNEG-RATIO-VAR-min,POSNEG-RATIO-VAR-max,POSNEG-RATIO-VAR-entropy,HORNY-VAR-mean,HORNY-VAR-coeff-variation,HORNY-VAR-min,HORNY-VAR-max,HORNY-VAR-entropy,horn-clauses-fraction,VG-mean,VG-coeff-variation,VG-min,VG-max,KLB-featuretime,CG-mean,CG-coeff-variation,CG-min,CG-max,CG-entropy,cluster-coeff-mean,cluster-coeff-coeff-variation,cluster-coeff-min,cluster-coeff-max,cluster-coeff-entropy,CG-featuretime,solved,instance_name
22.0,67.0,22.0,67.0,0.0,0.0,0.0,0.328358209,0.382771209,0.754740056,0.0,1.0,1.84994209,0.196743555,0.43797176,0.136363636,0.5,1.525883087,0.0,0.0,0.492537313,0.0,0.196743555,0.276034429,0.134328358,0.373134328,2.185071126,0.293657006,0.182442392,0.0,0.8,2.410194209,0.03256445,0.54645321,0.0,0.074626866,1.516521819,0.23880597,0.294436906,0.070342569,0.253731343,0.313432836,0.0,0.331922477,0.382192226,0.149253731,0.776119403,3.130930563,0.452975416,0.145295237,0.347826087,0.690909091,3.011856413,0.0,1.0,biere_019_s8964878566040228954
46.0,248.0,46.0,247.0,0.0,0.004048583,0.0,0.186234818,0.413941254,0.754267307,0.0,1.0,2.137117718,0.103590917,0.484097209,0.043478261,0.326086957,1.904245484,0.0,0.028340081,0.400809717,0.0,0.103590917,0.613285675,0.036437247,0.246963563,2.835389409,0.207697053,0.119486802,0.052631579,0.666666667,2.886423454,0.022355219,0.736841289,0.0,0.068825911,2.346591633,0.271255061,0.157542686,0.107947071,0.117408907,0.182186235,0.0,0.275598682,0.434220061,0.036437247,0.639676113,4.349719684,0.370828695,0.127175714,0.242424242,0.514821537,2.896243705,0.07,1.0,biere_041_s8964878566040228976
40.0,277.0,40.0,277.0,0.0,0.0,0.0,0.144404332,0.372554581,0.736045052,0.0,1.0,2.067760218,0.116516245,0.446603946,0.05,0.45,1.827322567,0.0,0.028880866,0.36101083,0.0,0.116516245,0.178524861,0.072202166,0.166064982,2.672913002,0.126333824,0.099945066,0.0,0.4375,2.833118594,0.024458484,0.319118863,0.010830325,0.039711191,2.088046676,0.281588448,0.137184116,0.029421947,0.119133574,0.140794224,0.0,0.238423543,0.3522199,0.086642599,0.671480144,4.195779931,0.303620662,0.111163143,0.226318484,0.430252101,2.538290705,0.07,1.0,biere_045_s8964878566040228980
70.0,440.0,70.0,440.0,0.0,0.0,0.0,0.159090909,0.404178574,0.743670115,0.0,1.0,2.18230195,0.070097403,0.48180224,0.028571429,0.257142857,1.930770372,0.0,0.015909091,0.35,0.0,0.070097403,0.171356232,0.043181818,0.104545455,2.814827555,0.142758518,0.110626364,0.0,0.428571429,3.130608729,0.014642857,0.378949905,0.002272727,0.031818182,2.202279773,0.281818182,0.137857143,0.074664074,0.1,0.154545455,0.0,0.156363636,0.420995529,0.056818182,0.477272727,4.414925991,0.227960451,0.126649466,0.160386473,0.327058824,2.431842043,0.14,1.0,biere_022_s8964878566040228957
42.0,194.0,42.0,194.0,0.0,0.0,0.0,0.216494845,0.425586927,0.744223035,0.0,1.0,2.108799015,0.108124693,0.430701798,0.047619048,0.30952381,1.804669638,0.0,0.036082474,0.417525773,0.0,0.108124693,0.473369316,0.041237113,0.211340206,2.927027134,0.171320631,0.152957483,0.0,0.75,2.856645258,0.023686794,0.585583926,0.0,0.067010309,2.234641056,0.288659794,0.173784978,0.134262538,0.108247423,0.206185567,0.0,0.251461367,0.416294555,0.06185567,0.608247423,4.070614579,0.343910345,0.118354954,0.255411255,0.453453453,2.770834029,0.03,1.0,biere_023_s8964878566040228958
30.0,90.0,30.0,90.0,0.0,0.0,0.0,0.333333333,0.400491422,0.725827723,0.0,1.0,2.150153904,0.155185185,0.454144692,0.066666667,0.5,1.806542154,0.0,0.033333333,0.355555556,0.0,0.155185185,0.28187562,0.066666667,0.266666667,2.545864158,0.184188976,0.143470755,0.0,0.6,2.543556776,0.032592593,0.520251052,0.011111111,0.077777778,1.725044178,0.288888889,0.29037037,0.078254396,0.222222222,0.322222222,0.0,0.313333333,0.347413181,0.111111111,0.711111111,3.339294118,0.406442491,0.104567667,0.302020202,0.541666667,2.693345955,0.0,1.0,biere_034_s8964878566040228969
14.0,62.0,14.0,62.0,0.0,0.0,0.0,0.225806452,0.438543267,0.818598877,0.0,1.0,1.77796104,0.296082949,0.447876656,0.142857143,0.714285714,1.682000303,0.0,0.096774194,0.483870968,0.0,0.296082949,0.17664684,0.193548387,0.387096774,2.168223492,0.176104183,0.151219365,0.0,0.5,2.441015278,0.062211982,0.322881403,0.016129032,0.096774194,1.432757053,0.290322581,0.209677419,0.0,0.209677419,0.209677419,0.0,0.450052029,0.317736153,0.161290323,0.85483871,3.153836678,0.542485217,0.094149722,0.413793103,0.666666667,2.77762004,0.0,1.0,biere_035_s8964878566040228970
59.0,303.0,59.0,303.0,0.0,0.0,0.0,0.194719472,0.394308826,0.766360286,0.0,1.0,2.152062787,0.079767299,0.450967804,0.033898305,0.237288136,1.877053826,0.0,0.02640264,0.372937294,0.0,0.079767299,0.39853914,0.02310231,0.138613861,3.229538722,0.168234163,0.149038278,0.0,0.6,3.10943842,0.017396655,0.504751464,0.00330033,0.03630363,2.262612944,0.293729373,0.152710186,0.142959482,0.089108911,0.181518152,0.0,0.189001078,0.426137184,0.02640264,0.501650165,4.285189904,0.268592104,0.122497212,0.186666667,0.401680672,2.547548127,0.07,1.0,biere_032_s8964878566040228967
21.0,74.0,21.0,74.0,0.0,0.0,0.0,0.283783784,0.442117117,0.693723523,0.0,1.0,2.007346346,0.208494208,0.380519383,0.095238095,0.476190476,1.706873641,0.0,0.040540541,0.351351351,0.0,0.208494208,0.215032882,0.148648649,0.283783784,1.913548428,0.230975654,0.180530741,0.0,0.666666667,2.648438335,0.053410553,0.438064071,0.013513514,0.108108108,1.791108733,0.297297297,0.261261261,0.046079524,0.22972973,0.27027027,0.0,0.365230095,0.298363872,0.175675676,0.702702703,3.170734623,0.43426121,0.102591952,0.29,0.545454545,2.743854477,0.0,1.0,biere_055_s8964878566040228990
21.0,74.0,21.0,74.0,0.0,0.0,0.0,0.283783784,0.412521938,0.722407416,0.0,1.0,2.164255933,0.211068211,0.435837007,0.095238095,0.523809524,1.84191229,0.0,0.081081081,0.364864865,0.0,0.211068211,0.183738039,0.135135135,0.283783784,2.268535092,0.203997816,0.139034995,0.0,0.5,2.623521756,0.04954955,0.440027905,0.013513514,0.094594595,1.725094716,0.297297297,0.263835264,0.043630595,0.22972973,0.27027027,0.0,0.372534697,0.33278646,0.148648649,0.689189189,3.317189803,0.468996235,0.092770948,0.347368421,0.561253561,2.750613958,0.0,1.0,biere_039_s8964878566040228974
