nvarsOrig,nclausesOrig,nvars,nclauses,reducedVars,reducedClauses,Pre-featuretime,vars-clauses-ratio,POSNEG-RATIO-CLAUSE-mean,POSNEG-RATIO-CLAUSE-coeff-variation,POSNEG-RATIO-CLAUSE-min,POSNEG-RATIO-CLAUSE-max,POSNEG-RATIO-CLAUSE-entropy,VCG-CLAUSE-mean,VCG-CLAUSE-coeff-variation,VCG-CLAUSE-min,VCG-CLAUSE-max,VCG-CLAUSE-entropy,UNARY,BINARY+,TRINARY+,Basic-featuretime,VCG-VAR-mean,VCG-VAR-coeff-variation,VCG-VAR-min,VCG-VAR-max,VCG-VAR-entropy,POSNEG-RATIO-VAR-mean,POSNEG-RATIO-VAR-stdev,POSNEG-RATIO-VAR-min,POSNEG-RATIO-VAR-max,POSNEG-RATIO-VAR-entropy,HORNY-VAR-mean,HORNY-VAR-coeff-variation,HORNY-VAR-min,HORNY-VAR-max,HORNY-VAR-entropy,horn-clauses-fraction,VG-mean,VG-coeff-variation,VG-min,VG-max,KLB-featuretime,CG-mean,CG-coeff-variation,CG-min,CG-max,CG-entropy,cluster-coeff-mean,cluster-coeff-coeff-variation,cluster-coeff-min,cluster-coeff-max,cluster-coeff-entropy,CG-featuretime,solved,instance_name
175.0,621.0,174.0,617.0,0.005747126,0.006482982,0.0,0.282009724,0.472025417,0.789554809,0.0,1.0,1.434144384,0.018116954,0.51333459,0.011494253,0.057471264,1.192962497,0.0,0.325769854,0.875202593,0.0,0.018116954,0.361515641,0.006482982,0.045380875,2.601220693,0.162674294,0.129965904,0.0,0.636363636,2.634965637,0.007218838,0.463362366,0.001620746,0.017828201,2.009796803,0.492706645,0.03846942,0.367451743,0.009724473,0.082658023,0.0,0.028112186,0.554986605,0.006482982,0.098865478,3.405835993,0.223981059,0.381051717,0.064313725,0.6,3.440204394,0.03,1.0,brummayer_080_s424309012710560667
67.0,178.0,60.0,156.0,0.116666667,0.141025641,0.0,0.384615385,0.541137566,0.723364076,0.0,1.0,1.315901377,0.049252137,0.455526289,0.033333333,0.15,1.11805384,0.0,0.391025641,0.897435897,0.0,0.049707602,0.327030701,0.019230769,0.108974359,2.19957712,0.163089233,0.143040116,0.0,0.6,2.104508807,0.021367521,0.406525716,0.006410256,0.044871795,1.682482077,0.5,0.082208727,0.448082722,0.012820513,0.173076923,0.0,0.065992768,0.533081255,0.019230769,0.230769231,2.726025823,0.335241073,0.300011886,0.118226601,0.571428571,3.413939862,0.0,1.0,brummayer_048_s424309012710560635
152.0,542.0,151.0,539.0,0.006622517,0.005565863,0.0,0.280148423,0.485285803,0.742350725,0.0,1.0,1.377227017,0.021292804,0.513116635,0.013245033,0.066225166,1.163698342,0.0,0.280148423,0.873840445,0.0,0.021292804,0.342391795,0.009276438,0.050092764,2.532184459,0.136627399,0.104181528,0.0,0.5,2.621352461,0.008797258,0.449156452,0.001855288,0.024118738,2.002911336,0.500927644,0.044207448,0.438535771,0.00742115,0.105751391,0.0,0.033264377,0.566219284,0.00742115,0.118738404,3.407991234,0.236040069,0.34845689,0.063934426,0.454545455,3.466151693,0.03,1.0,brummayer_058_s424309012710560645
64.0,177.0,63.0,173.0,0.015873016,0.023121387,0.0,0.36416185,0.463047069,0.80449612,0.0,1.0,1.36007415,0.049729333,0.498482877,0.031746032,0.158730159,1.19629135,0.0,0.323699422,0.87283237,0.0,0.049729333,0.333647497,0.011560694,0.098265896,2.335168945,0.1714059,0.132956222,0.0,0.6,2.325829039,0.02027709,0.439496744,0.005780347,0.040462428,1.796390624,0.502890173,0.09432058,0.458325046,0.011560694,0.190751445,0.0,0.071368906,0.559887514,0.01734104,0.242774566,2.976307227,0.328563874,0.309159416,0.137634409,0.666666667,3.371562136,0.0,1.0,brummayer_002_s424309012710560589
194.0,683.0,193.0,676.0,0.005181347,0.01035503,0.0,0.285502959,0.481492439,0.801239856,0.0,1.0,1.428740776,0.015965601,0.511080268,0.010362694,0.051813472,1.204641035,0.0,0.371301775,0.877218935,0.0,0.015965601,0.379262505,0.00591716,0.042899408,2.624023629,0.153692047,0.135614104,0.0,0.5,2.605159539,0.006545666,0.505906299,0.00295858,0.022189349,1.920199907,0.50739645,0.032866297,0.45205798,0.00591716,0.078402367,0.0,0.02464462,0.578691879,0.00443787,0.096153846,3.396070104,0.21994427,0.394398147,0.062056738,0.5,3.437394551,0.03,1.0,brummayer_009_s424309012710560596
79.0,232.0,78.0,229.0,0.012820513,0.013100437,0.0,0.340611354,0.480228045,0.785025604,0.0,1.0,1.325342101,0.039805173,0.498005501,0.025641026,0.128205128,1.134529521,0.0,0.318777293,0.890829694,0.0,0.039805173,0.2923597,0.013100437,0.07860262,2.166872512,0.163644831,0.14404155,0.0,0.636363636,2.417894794,0.016963386,0.430323046,0.004366812,0.03930131,1.831879879,0.510917031,0.073899899,0.402420363,0.017467249,0.152838428,0.0,0.054651895,0.540254298,0.013100437,0.179039301,2.927268349,0.315853684,0.333947482,0.1,0.571428571,3.583083042,0.0,1.0,brummayer_020_s424309012710560607
176.0,609.0,175.0,604.0,0.005714286,0.008278146,0.0,0.289735099,0.506873489,0.755535998,0.0,1.0,1.323237587,0.017086093,0.474912654,0.011428571,0.057142857,1.1004365,0.0,0.355960265,0.905629139,0.0,0.017086093,0.337746673,0.006622517,0.044701987,2.438135887,0.131668969,0.109869676,0.0,0.5,2.471890835,0.007369915,0.469180295,0.001655629,0.01986755,1.964442882,0.514900662,0.030860927,0.431598058,0.004966887,0.062913907,0.0,0.024730275,0.547552452,0.004966887,0.092715232,3.151633564,0.239542917,0.368638278,0.055194805,0.527777778,3.482976149,0.02,1.0,brummayer_077_s424309012710560664
67.0,188.0,66.0,182.0,0.015151515,0.032967033,0.0,0.362637363,0.511948369,0.75504559,0.0,1.0,1.38181136,0.045371295,0.505480444,0.03030303,0.151515152,1.100154074,0.0,0.384615385,0.906593407,0.0,0.045371295,0.410570703,0.010989011,0.142857143,2.298121189,0.162505463,0.150034651,0.0,0.6,2.297819316,0.01989677,0.532631217,0.005494505,0.065934066,1.838556548,0.516483516,0.081418581,0.530973237,0.010989011,0.175824176,0.0,0.065330274,0.61246693,0.010989011,0.252747253,2.981352882,0.322194752,0.323234839,0.133333333,0.666666667,3.481117555,0.0,1.0,brummayer_091_s424309012710560678
209.0,752.0,208.0,747.0,0.004807692,0.00669344,0.0,0.278447122,0.48784025,0.767538639,0.0,1.0,1.41409494,0.015221141,0.517783113,0.009615385,0.048076923,1.218033788,0.0,0.329317269,0.868808568,0.0,0.015221141,0.344452681,0.005354752,0.037483266,2.592296707,0.166359735,0.122042078,0.0,0.6,2.763282706,0.006474616,0.509377147,0.001338688,0.022757697,2.08962099,0.516733601,0.032566162,0.432088672,0.005354752,0.087014726,0.0,0.023476324,0.589350165,0.004016064,0.104417671,3.41829127,0.222426092,0.395268893,0.053872054,0.5,3.471869048,0.04,1.0,brummayer_011_s424309012710560598
120.0,375.0,117.0,365.0,0.025641026,0.02739726,0.0,0.320547945,0.496414438,0.760073099,0.0,1.0,1.282543978,0.025406861,0.481490744,0.017094017,0.085470085,1.032897959,0.0,0.361643836,0.923287671,0.0,0.025484176,0.344109068,0.005479452,0.057534247,2.424352099,0.134302303,0.111671654,0.0,0.5,2.262983027,0.011289561,0.467403534,0.002739726,0.02739726,1.917520431,0.523287671,0.044709495,0.467555458,0.005479452,0.134246575,0.0,0.035819103,0.552418349,0.008219178,0.134246575,3.036781631,0.276793701,0.34584489,0.066938776,0.533333333,3.546724705,0.01,1.0,brummayer_050_s424309012710560637
