nvarsOrig,nclausesOrig,nvars,nclauses,reducedVars,reducedClauses,Pre-featuretime,vars-clauses-ratio,POSNEG-RATIO-CLAUSE-mean,POSNEG-RATIO-CLAUSE-coeff-variation,POSNEG-RATIO-CLAUSE-min,POSNEG-RATIO-CLAUSE-max,POSNEG-RATIO-CLAUSE-entropy,VCG-CLAUSE-mean,VCG-CLAUSE-coeff-variation,VCG-CLAUSE-min,VCG-CLAUSE-max,VCG-CLAUSE-entropy,UNARY,BINARY+,TRINARY+,Basic-featuretime,VCG-VAR-mean,VCG-VAR-coeff-variation,VCG-VAR-min,VCG-VAR-max,VCG-VAR-entropy,POSNEG-RATIO-VAR-mean,POSNEG-RATIO-VAR-stdev,POSNEG-RATIO-VAR-min,POSNEG-RATIO-VAR-max,POSNEG-RATIO-VAR-entropy,HORNY-VAR-mean,HORNY-VAR-coeff-variation,HORNY-VAR-min,HORNY-VAR-max,HORNY-VAR-entropy,horn-clauses-fraction,VG-mean,VG-coeff-variation,VG-min,VG-max,KLB-featuretime,CG-mean,CG-coeff-variation,CG-min,CG-max,CG-entropy,cluster-coeff-mean,cluster-coeff-coeff-variation,cluster-coeff-min,cluster-coeff-max,cluster-coeff-entropy,CG-featuretime,solved,instance_name
125.0,500.0,125.0,497.0,0.0,0.006036217,0.0,0.251509054,0.484909457,0.576230885,0.333333333,1.0,0.536071789,0.024,0.0,0.024,0.024,-0.0,0.0,0.0,1.0,0.0,0.024,0.421279259,0.002012072,0.056338028,2.863774655,0.231840855,0.192761237,0.0,1.0,2.997639163,0.010334004,0.539773006,0.0,0.028169014,2.355452678,0.430583501,0.029102616,0.376202161,0.004024145,0.058350101,0.0,0.037699031,0.276246753,0.00804829,0.07444668,3.022201499,0.172042205,0.298065101,0.087356322,0.4,2.912655967,0.01,1.0,chevu_078_s10717307936432754184
125.0,500.0,126.0,496.0,-0.007936508,0.008064516,0.0,0.254032258,0.479166667,0.577702226,0.0,1.0,0.540628056,0.023777522,0.021152401,0.015873016,0.023809524,0.026255685,0.0,0.004032258,1.0,0.0,0.023777522,0.382094358,0.004032258,0.046370968,2.822394575,0.222973784,0.17420206,0.0,1.0,3.060572961,0.010640681,0.480782241,0.002016129,0.028225806,2.267629535,0.447580645,0.031970046,0.344652654,0.008064516,0.0625,0.0,0.037192703,0.24614225,0.012096774,0.064516129,2.908246444,0.162567494,0.277781225,0.076612903,0.333333333,2.800073162,0.0,1.0,chevu_059_s10717307936432754165
125.0,500.0,126.0,496.0,-0.007936508,0.008064516,0.0,0.254032258,0.497983871,0.579673582,0.0,1.0,0.574061432,0.023777522,0.021152401,0.015873016,0.023809524,0.026255685,0.0,0.004032258,1.0,0.0,0.023777522,0.356123415,0.004032258,0.04233871,2.788822267,0.227302098,0.175346209,0.0,0.75,3.137416705,0.010688684,0.442850707,0.002016129,0.022177419,2.22698726,0.449596774,0.03062596,0.336666024,0.008064516,0.050403226,0.0,0.036135861,0.244111697,0.012096774,0.0625,2.865200772,0.170134698,0.292818281,0.08045977,0.476190476,2.841269523,0.01,1.0,chevu_051_s10717307936432754157
125.0,500.0,125.0,495.0,0.0,0.01010101,0.0,0.252525253,0.507070707,0.577125704,0.333333333,1.0,0.573689883,0.024,0.0,0.024,0.024,-0.0,0.0,0.0,1.0,0.0,0.024,0.379083312,0.002020202,0.058585859,2.7859198,0.245569857,0.227517483,0.0,1.0,3.106866181,0.010909091,0.546343375,0.002020202,0.032323232,2.35782733,0.454545455,0.031127273,0.333074436,0.004040404,0.062626263,0.0,0.036739108,0.262107849,0.008080808,0.068686869,2.949873836,0.167365657,0.279378863,0.070588235,0.4,2.849313593,0.01,1.0,chevu_046_s10717307936432754152
125.0,500.0,126.0,495.0,-0.007936508,0.01010101,0.0,0.254545455,0.478787879,0.585206361,0.0,1.0,0.574649521,0.023665224,0.044807739,0.015873016,0.023809524,0.090876121,0.0,0.018181818,1.0,0.0,0.023665224,0.381291279,0.002020202,0.054545455,2.78562647,0.221716911,0.203010363,0.0,1.0,3.008538355,0.010726311,0.477215172,0.0,0.024242424,2.288403652,0.454545455,0.03030303,0.353964695,0.004040404,0.064646465,0.0,0.036551372,0.26783121,0.01010101,0.074747475,2.961934143,0.167217222,0.341463768,0.082758621,0.571428571,2.894947337,0.0,1.0,chevu_035_s13433780135342208378
125.0,500.0,125.0,497.0,0.0,0.006036217,0.0,0.251509054,0.515761234,0.580629648,0.0,1.0,0.613711776,0.023839034,0.047120449,0.016,0.024,0.09850858,0.0,0.020120724,1.0,0.0,0.023839034,0.38745125,0.006036217,0.054325956,2.829583204,0.243540691,0.186761635,0.0,1.0,3.093412746,0.010800805,0.49960839,0.0,0.036217304,2.234918984,0.45472837,0.03138833,0.35026054,0.00804829,0.06639839,0.0,0.036508791,0.284212885,0.012072435,0.070422535,3.012593309,0.166129261,0.303196798,0.075630252,0.444444444,2.86887886,0.0,1.0,chevu_046_s13433780135342208389
125.0,500.0,125.0,496.0,0.0,0.008064516,0.0,0.252016129,0.516129032,0.580583175,0.0,1.0,0.614286904,0.023887097,0.039504666,0.016,0.024,0.074143208,0.0,0.014112903,1.0,0.0,0.023887097,0.360002795,0.004032258,0.046370968,2.765766336,0.230193404,0.199123373,0.0,1.0,3.105278123,0.010935484,0.46773072,0.0,0.028225806,2.279328952,0.45766129,0.030548387,0.332467569,0.008064516,0.056451613,0.0,0.036176509,0.257590831,0.012096774,0.070564516,2.920557425,0.170356862,0.305272472,0.06984127,0.4,2.929292901,0.01,1.0,chevu_071_s13433780135342208414
125.0,500.0,124.0,486.0,0.008064516,0.028806584,0.0,0.255144033,0.499314129,0.596103203,0.0,1.0,0.649093452,0.023977831,0.054266823,0.016129032,0.024193548,0.123252944,0.0,0.026748971,1.0,0.0,0.02408913,0.425445709,0.004115226,0.061728395,2.897263055,0.256673663,0.202421186,0.0,1.0,3.191204561,0.011024123,0.512192994,0.0,0.026748971,2.314127852,0.46090535,0.030613269,0.395887214,0.008230453,0.082304527,0.0,0.037367271,0.288809513,0.00617284,0.074074074,3.035315933,0.164705746,0.340851178,0.067567568,0.5,2.951039383,0.0,1.0,chevu_002_s13433780135342208345
125.0,500.0,125.0,495.0,0.0,0.01010101,0.0,0.252525253,0.482154882,0.588209396,0.0,1.0,0.591025543,0.02390303,0.036623672,0.016,0.024,0.065535916,0.0,0.012121212,1.0,0.0,0.02390303,0.355007564,0.008080808,0.046464646,2.74422819,0.233401412,0.21028358,0.0,1.0,3.11109407,0.011022222,0.492624981,0.0,0.028282828,2.34083631,0.462626263,0.03099798,0.339706255,0.01010101,0.064646465,0.0,0.036069789,0.2554802,0.014141414,0.064646465,2.902470867,0.165351873,0.302291619,0.082010582,0.5,2.860141886,0.01,1.0,chevu_009_s13433780135342208352
125.0,500.0,125.0,498.0,0.0,0.004016064,0.0,0.251004016,0.491298527,0.576987943,0.333333333,1.0,0.547536098,0.024,0.0,0.024,0.024,-0.0,0.0,0.0,1.0,0.0,0.024,0.429614604,0.004016064,0.054216867,2.874066084,0.207675226,0.155130808,0.0,1.0,2.9864201,0.01113253,0.50376253,0.0,0.030120482,2.354867534,0.463855422,0.031710843,0.376231145,0.008032129,0.070281124,0.0,0.039055822,0.269444622,0.018072289,0.088353414,3.015165797,0.162462287,0.279681189,0.071969697,0.323809524,2.840956949,0.01,1.0,chevu_073_s10717307936432754179
