nvarsOrig,nclausesOrig,nvars,nclauses,reducedVars,reducedClauses,Pre-featuretime,vars-clauses-ratio,POSNEG-RATIO-CLAUSE-mean,POSNEG-RATIO-CLAUSE-coeff-variation,POSNEG-RATIO-CLAUSE-min,POSNEG-RATIO-CLAUSE-max,POSNEG-RATIO-CLAUSE-entropy,VCG-CLAUSE-mean,VCG-CLAUSE-coeff-variation,VCG-CLAUSE-min,VCG-CLAUSE-max,VCG-CLAUSE-entropy,UNARY,BINARY+,TRINARY+,Basic-featuretime,VCG-VAR-mean,VCG-VAR-coeff-variation,VCG-VAR-min,VCG-VAR-max,VCG-VAR-entropy,POSNEG-RATIO-VAR-mean,POSNEG-RATIO-VAR-stdev,POSNEG-RATIO-VAR-min,POSNEG-RATIO-VAR-max,POSNEG-RATIO-VAR-entropy,HORNY-VAR-mean,HORNY-VAR-coeff-variation,HORNY-VAR-min,HORNY-VAR-max,HORNY-VAR-entropy,horn-clauses-fraction,VG-mean,VG-coeff-variation,VG-min,VG-max,KLB-featuretime,CG-mean,CG-coeff-variation,CG-min,CG-max,CG-entropy,cluster-coeff-mean,cluster-coeff-coeff-variation,cluster-coeff-min,cluster-coeff-max,cluster-coeff-entropy,CG-featuretime,solved,instance_name
64.0,9632.0,64.0,9632.0,0.0,0.0,0.31,0.006644518,0.0,0.0,0.0,0.0,-0.0,0.0625,0.0,0.0625,0.0625,-0.0,0.0,0.0,0.0,0.0,0.0625,0.0,0.0625,0.0625,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.006540698,0.0,0.006540698,0.006540698,0.0,-1.0,-0.0,-1.0,0.0,-512.0,-1.0,-0.0,-1.0,0.0,-0.0,180.01,1.0,mc2024_track1_174
512.0,2388480.0,512.0,2388480.0,0.0,0.0,35.92,0.000214362,0.0,0.0,0.0,0.0,-0.0,0.0078125,0.0,0.0078125,0.0078125,-0.0,0.0,0.0,0.0,0.11,0.0078125,0.0,0.0078125,0.0078125,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.000213944,0.0,0.000213944,0.000213944,0.69,-1.0,-0.0,-1.0,0.0,-512.0,-1.0,-0.0,-1.0,0.0,-0.0,180.09,1.0,mc2024_track1_171
256.0,387200.0,256.0,387200.0,0.0,0.0,29.84,0.000661157,0.0,0.0,0.0,0.0,-0.0,0.015625,0.0,0.015625,0.015625,-0.0,0.0,0.0,0.0,0.02,0.015625,0.0,0.015625,0.015625,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.000658574,0.0,0.000658574,0.000658574,0.05,-1.0,-0.0,-1.0,0.0,-512.0,-1.0,-0.0,-1.0,0.0,-0.0,180.03,1.0,mc2024_track1_176
42.0,64826.0,46.0,64282.0,-0.086956522,0.008462711,31.33,0.000715597,0.998375906,0.024135373,0.5,1.0,0.032350379,0.122779654,0.097286113,0.043478261,0.130434783,0.738120011,0.0,0.000140008,0.001104508,0.0,0.122779654,0.305696529,0.000155565,0.135076693,3.617683559,0.988621169,0.058815777,0.6,1.0,0.385849694,0.0,0.0,0.0,0.0,-0.0,0.0,0.000687866,0.051206358,0.000466694,0.00070004,0.02,2.85e-07,50.963551256,0.0,0.001555645,0.030575461,0.003057919,14.715657069,0.0,0.666666667,0.030575461,0.11,1.0,mc2024_track1_187
260.0,166903.0,467.0,116577.0,-0.443254818,0.431697505,29.27,0.004005936,0.733944088,0.466909237,0.0,1.0,0.776765092,0.006276522,0.086390861,0.004282655,0.006423983,0.250691433,0.0,0.068864356,1.0,0.0,0.006540944,0.667577529,0.000917848,0.011331566,5.499955862,0.990261978,0.011681656,0.962616822,1.0,1.238365982,0.000284193,0.573112967,3.4312e-05,0.000943582,4.036259304,0.056040214,0.00155852,0.362221463,0.00069482,0.002307488,0.01,1.4129e-05,8.72276491,0.0,0.004434837,0.799963586,0.252600683,1.264704505,0.0,0.666666667,0.771915775,0.61,1.0,mc2024_track1_188
312.0,3701.0,303.0,3536.0,0.02970297,0.046662896,0.03,0.085690045,0.475113122,0.574173302,0.333333333,1.0,0.517472388,0.018861162,0.153936834,0.00990099,0.01980198,0.314006844,0.0,0.0,0.095022624,0.0,0.018857543,0.028205531,0.018099548,0.019230769,0.634130449,0.287246148,0.163997106,0.15625,0.53125,1.398391837,0.000848416,0.0,0.000848416,0.000848416,-0.0,0.085690045,0.011315103,0.035255115,0.010746606,0.011595023,0.0,0.028348685,0.118841883,0.014423077,0.029977376,1.495630015,0.472471486,0.242938953,0.431317228,0.830357143,0.554227512,1.06,1.0,mc2024_track1_047
312.0,3692.0,312.0,3512.0,0.0,0.051252847,0.02,0.088838269,0.474563402,0.574023275,0.333333333,1.0,0.516391055,0.018376555,0.148867652,0.009615385,0.019230769,0.29984173,0.0,0.0,0.088838269,0.0,0.018376555,0.059891988,0.015091116,0.019362187,1.065905117,0.291856824,0.165126936,0.169811321,0.529411765,0.862296801,0.000854214,0.0,0.000854214,0.000854214,-0.0,0.088838269,0.011082881,0.059584243,0.009111617,0.01167426,0.0,0.027772012,0.117750003,0.014806378,0.030182232,1.705766194,0.472411859,0.236761106,0.431317228,0.836719884,0.884392934,1.18,1.0,mc2024_track1_113
198.0,2173.0,198.0,1978.0,0.0,0.098584429,0.01,0.100101112,0.475564543,0.574293642,0.333333333,1.0,0.518357323,0.028786347,0.157974075,0.015151515,0.03030303,0.325305083,0.0,0.0,0.100101112,0.0,0.028786347,0.084441893,0.02173913,0.031850354,1.303069785,0.286138091,0.161939935,0.162790698,0.523809524,1.416658828,0.001516684,0.0,0.001516684,0.001516684,-0.0,0.100101112,0.01737292,0.083950432,0.01314459,0.019211325,0.0,0.043316727,0.1315521,0.021233569,0.049544995,1.978767058,0.486310738,0.239115187,0.435786436,0.84496124,1.230601247,0.46,1.0,mc2024_track1_112
180.0,1839.0,171.0,1620.0,0.052631579,0.135185185,0.01,0.105555556,0.477366255,0.574748562,0.333333333,1.0,0.521862125,0.032975958,0.173116093,0.01754386,0.035087719,0.367662279,0.0,0.0,0.12037037,0.0,0.032956104,0.067989162,0.027160494,0.035802469,1.654637322,0.272261558,0.156461667,0.136363636,0.52,1.865554876,0.001851852,0.0,0.001851852,0.001851852,-0.0,0.105555556,0.019741655,0.073327897,0.016049383,0.021604938,0.0,0.048931565,0.142086701,0.021604938,0.055555556,2.594161216,0.497810409,0.249760405,0.441025641,0.843551797,1.214134331,0.34,1.0,mc2024_track1_044
150.0,1525.0,150.0,1355.0,0.0,0.125461255,0.0,0.110701107,0.476506765,0.574536578,0.333333333,1.0,0.520195594,0.037785978,0.16607306,0.02,0.04,0.347978664,0.0,0.0,0.110701107,0.0,0.037785978,0.088990514,0.02804428,0.042804428,1.29593507,0.280807231,0.158953234,0.157894737,0.517241379,1.258079529,0.002214022,0.0,0.002214022,0.002214022,-0.0,0.110701107,0.022819188,0.088414896,0.01697417,0.025830258,0.0,0.056480712,0.138482384,0.027306273,0.066420664,1.960116254,0.498104101,0.241364951,0.441025641,0.850640114,1.362009484,0.3,1.0,mc2024_track1_115
